Sr No.,Is_Transition,Is_Appraisal_Driven,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Set,expectation,dataset,Moment_Utterance_ID
20,0,0,Do you have to pay to join ?,B,neutral,2,1,train,,DailyDialog,
21,0,0,"Yes , membership fees vary depending on the club but usually they run into tens of thousands of dollars .",A,neutral,2,2,train,,DailyDialog,
22,1,1,"Wow , that much ? Don't they have any public courses ?",B,surprise,2,3,train,"B was expecting that the membership fees would be lower or that there might be options that don't require such high fees, such as public courses.",DailyDialog,1.0
23,0,0,"Very few , unfortunately .",A,neutral,2,4,train,,DailyDialog,
24,1,1,How was your game today ?,B,neutral,2,5,train,B hoped there were many public courses available.,DailyDialog,3.0
25,1,1,"Extremely good . I shot a 78 , including 5 birdies !",A,happiness,2,6,train,"A expected B to understand that public courses are rare, which makes access to affordable golfing limited. A might have been setting up the context for discussing the exclusivity of golf clubs and the enjoyment of a good game on a private course.",DailyDialog,4.0
26,1,1,Congratulations ! What's your normal handicap ?,B,happiness,2,7,train,"B was expecting A to share details about their golf game, likely assuming A's performance would be in line with their usual playing level.",DailyDialog,5.0
27,1,1,Ten . How did your game go ?,A,neutral,2,8,train,A expected B to be impressed or to express admiration about A's golf performance.,DailyDialog,6.0
28,1,1,My drives were terrible today . I kept slicing the ball into the roughs and sand traps .,B,sadness,2,9,train,"B was expecting A to be impressed or surprised about their interest in A's handicap, and possibly to inquire further about B's golf game.",DailyDialog,7.0
29,0,0,Maybe you can correct it by going to a driving range before you play again .,A,neutral,2,10,train,,DailyDialog,
30,0,0,What ? How could you forget to reserve the concert tickets ?,A,surprise,3,0,train,,DailyDialog,
31,0,0,I'm sorry . I forget all about it .,B,neutral,3,1,train,,DailyDialog,
32,1,1,How could you ? I reminded you just this morning .,A,anger,3,2,train,A expected B to remember to reserve the concert tickets after being reminded that morning.,DailyDialog,0.0
33,1,1,It's leap my mind . I really feel terrible about it .,B,sadness,3,3,train,B was expecting some understanding or forgiveness from A after apologizing and acknowledging the mistake.,DailyDialog,1.0
34,0,0,I have been looking forward to this performance all month .,A,anger,3,4,train,,DailyDialog,
35,0,0,I'm really sorry I let you down . I'll make it up to you somehow .,B,sadness,3,5,train,,DailyDialog,
36,0,0,"hey , Tom , did you enjoy your lunch ?",A,neutral,4,0,train,,DailyDialog,
37,0,0,"oh , don't mention it . It was terrible .",B,disgust,4,1,train,,DailyDialog,
38,0,0,what ' the matter ?,A,neutral,4,2,train,,DailyDialog,
39,0,0,"the food station was as crowded as usual . I waited for 20 minutes for my sandwich , and when I finally got it the chicken was underdone .",B,disgust,4,3,train,,DailyDialog,
40,0,0,I see . You simply can't blame the server for this .,A,neutral,4,4,train,,DailyDialog,
41,1,1,"yes , I know . Fast food is so popular in this district .",B,neutral,4,5,train,B was expecting A to agree that the server was at fault or to express sympathy about the long wait and the undercooked chicken.,DailyDialog,3.0
42,0,0,that's true .,A,neutral,4,6,train,,DailyDialog,
43,0,0,"anyway , how was your such , Catherine ?",B,neutral,4,7,train,,DailyDialog,
44,1,1,it was good . I brough lunch from home today .,A,happiness,4,8,train,A likely expected B to ask about A's lunch experience or to discuss their own lunch further.,DailyDialog,6.0
45,1,1,you did ? I thought you must feel right at home here as we get as many fast food restaurants as you do in America .,B,surprise,4,9,train,"B expected A to have eaten lunch at a fast food restaurant, similar to those in America.",DailyDialog,7.0
46,0,0,"well , I personally don't like then because i don't believe they are healthy .",A,happiness,4,10,train,,DailyDialog,
47,1,1,"i guess you're right . More often than not , people go there only for convenience . The foods may taste good , but generally speaking , they are high in calories , salt and fat .",B,neutral,4,11,train,"B expected A to enjoy or have no issue with the prevalence of fast food restaurants, possibly because they assumed A might be accustomed to or fond of them due to cultural stereotypes about America.",DailyDialog,9.0
48,1,1,"yes . I am wondering that you must believe fast food is your lifestyle , don't you ?",A,neutral,4,12,train,A hoped B would agree with their viewpoint that fast food is unhealthy and not a desirable lifestyle choice.,DailyDialog,10.0
49,0,0,you bet . Almost all top brands such as McDonald's and KFC are from America .,B,neutral,4,13,train,,DailyDialog,
50,0,0,"well , actually two-thirds of Americans may avoid these places .",A,neutral,4,14,train,,DailyDialog,
51,1,1,seriously ?,B,surprise,4,15,train,B expected A to agree that Americans generally embrace fast food as part of their lifestyle due to the prevalence of American fast food brands.,DailyDialog,13.0
52,0,0,"yeah , it's hard to believe but true .",A,neutral,4,16,train,,DailyDialog,
53,0,0,Why is the long face ?,A,neutral,5,0,train,,DailyDialog,
54,0,0,I'm getting sick of work man . I can't take the political bull in the company any more .,B,disgust,5,1,train,,DailyDialog,
55,0,0,Did you just get your review or something ?,A,neutral,5,2,train,,DailyDialog,
56,1,1,"Yeah , but that's not why I am upset . I just found out another guy got a promotion . He doesn't know how to do anything . He sits there and kisses the managers butt all day long .",B,sadness,5,3,train,B was expecting to be recognized for his competence and hard work rather than see someone he perceives as less capable receive a promotion due to office politics.,DailyDialog,1.0
57,0,0,That sucks .,A,neutral,5,4,train,,DailyDialog,
58,1,1,I'm just pissed that management can't see behind his smooth talking lies .,B,neutral,5,5,train,B was expecting management to recognize genuine talent and effort rather than being swayed by superficial flattery. B likely hoped for fair recognition and equitable promotions based on merit.,DailyDialog,3.0
59,0,0,Look on the bright side . At least you have a job .,A,neutral,5,6,train,,DailyDialog,
60,1,1,Yeah . I shouldn't stress about this anymore . It's not like I can do anything about it .,B,happiness,5,7,train,B expected A to acknowledge the unfairness of the situation and possibly offer support or validation of B's frustration about management's decision.,DailyDialog,5.0
61,1,1,"Exactly . Instead , we should have some drinks tonight .",A,happiness,5,8,train,"A hoped B would feel better and appreciate the job they have, despite the unfair situation.",DailyDialog,6.0
62,0,0,How about a cold bottle of beer .,B,happiness,5,9,train,,DailyDialog,
63,0,0,Now you're talking .,A,happiness,5,10,train,,DailyDialog,
64,0,0,"What ’ s wrong with you , Mr . Polly ?",A,neutral,6,0,train,,DailyDialog,
65,0,0,What ’ s wrong ? I want a break from this horrible job .,B,anger,6,1,train,,DailyDialog,
66,0,0,"Then , buy a bottle of soft drink .",A,neutral,6,2,train,,DailyDialog,
67,1,1,Would you like to buy a bottle for me in the shop ?,B,neutral,6,3,train,"B was expecting A to offer some kind of support, understanding, or assistance after expressing dissatisfaction with their job.",DailyDialog,1.0
68,0,0,"It ’ s a problem , because my boss is in that shop now .",A,neutral,6,4,train,,DailyDialog,
69,0,0,"Ok , I will go there myself .",B,neutral,6,5,train,,DailyDialog,
70,1,1,"Sorry , Mr . Polly .",A,sadness,6,6,train,"A expected B to decide against going to the shop, possibly due to A's boss being there.",DailyDialog,4.0
71,1,1,"It doesn ’ t matter . Oh , God , I have only four dollars in my wallet . Is that possible for me to buy one ?",B,surprise,6,7,train,"B expected A to help or offer assistance in some way, potentially by suggesting a solution or offering support, after B decided to go to the shop themselves.",DailyDialog,5.0
72,1,1,Have a try .,A,neutral,6,8,train,A expected B to attempt to purchase the soft drink despite the limited money.,DailyDialog,6.0
73,0,0,"Hello , Kevin . I hate to do this , but I have to cancel our appointment .",A,sadness,7,0,train,,DailyDialog,
74,0,0,"Oh , no ! Why ? I was looking forward to seeing you at my new place .",B,surprise,7,1,train,,DailyDialog,
75,1,1,"Yeah , I really wanted to come , too . But something unexpected in Shanghai have come up . I have to fly out for a few days , but I'll be back soon .",A,neutral,7,2,train,A hoped that B would understand the need to cancel the appointment and possibly express disappointment or understanding.,DailyDialog,0.0
76,1,1,No problem . Call me when you get back .,B,neutral,7,3,train,B expected A to explain the reason for canceling and possibly reschedule for a future visit when A is back.,DailyDialog,1.0
77,0,0,"I should have some free time next week . Say , next Wednesday evening ?",A,neutral,7,4,train,,DailyDialog,
78,1,1,"That's good for me , but do you think you'll be back by then ? I'd really like to see you .",B,happiness,7,5,train,"B expected A to inform them once they returned from Shanghai, without necessarily setting a specific time for the meeting until A confirmed their availability.",DailyDialog,3.0
79,0,0,"Yeah , I'm expecting to come back on Tuesday .",A,neutral,7,6,train,,DailyDialog,
80,0,0,Great ! That's settled then .,B,happiness,7,7,train,,DailyDialog,
81,0,0,OK .,A,neutral,7,8,train,,DailyDialog,
82,0,0,Ah ! No ! Damn it !,A,anger,8,0,train,,DailyDialog,
83,0,0,It's a blackout . Now I can't see Seinfeld .,B,neutral,8,1,train,,DailyDialog,
84,0,0,So what ? I just lost one hour's worth of work .,A,anger,8,2,train,,DailyDialog,
85,1,1,Really ? How could you do that ? Don't you save every couple minutes ?,B,surprise,8,3,train,B expected A to empathize with the inconvenience of not being able to watch Seinfeld and possibly express similar frustration about the blackout.,DailyDialog,1.0
86,1,1,"No , I didn't save this time.Damn it ! And I'm sick of writing this paper . Now I have to write it all over again too .",A,neutral,8,4,train,"A expected to retain their work progress despite the blackout and perhaps assumed that others, like B, would empathize with the frustration of losing unsaved work.",DailyDialog,2.0
87,1,1,"I've had that problem too many times . So I learned to save.When I'm writing something , I save every three sentences or so . I don't want to lose anything .",B,neutral,8,5,train,"B expected A to save their work frequently, at least every couple of minutes, to prevent losing progress during a blackout.",DailyDialog,3.0
88,1,1,I hate computers . Sometimes I think they cause more trouble than they're worth .,A,disgust,8,6,train,"A expected that there would be no significant issues with the computer or power, allowing them to complete their work without needing to save constantly. A hoped they wouldn't have to rewrite their paper due to unforeseen technical problems.",DailyDialog,4.0
89,0,0,What are we going to do now ?,B,neutral,8,7,train,,DailyDialog,
90,1,1,I don't know . I feel like going out .,A,neutral,8,8,train,"A was expressing frustration with computers and was likely expecting B to share in or validate their frustration, or perhaps suggest a break from dealing with the computer problems.",DailyDialog,6.0
91,0,0,I wonder how much of the city is down .,B,neutral,8,9,train,,DailyDialog,
92,0,0,It doesn't matter . I still can go out and buy a beer .,A,neutral,8,10,train,,DailyDialog,
93,0,0,"Maybe . But if there's a blackout , probably the pubs are closed.And besides , I know you have a political science exam tomorrow . I thought you had a lot of reading to do .",B,neutral,8,11,train,,DailyDialog,
94,1,1,"Yes , that's true . Damn ! I just lost half my paper , and now I can't even do my homework.This is a bad time for this to happen .",A,anger,8,12,train,"A was expecting that they could still go out and buy a beer despite the blackout, assuming that at least some places might be open.",DailyDialog,10.0
95,0,0,"I have a flashlight in my closet . If you want to use that to read , you can .",B,neutral,8,13,train,,DailyDialog,
96,0,0,"Hello , Jason , there is going to be a screening of Final Destination 3 at our campus cinema tomorrow . I plan to go to see it .",A,neutral,9,0,train,,DailyDialog,
97,0,0,Is it a horror movie ?,B,fear,9,1,train,,DailyDialog,
98,0,0,"Yeah , I love horror movies . Would you like to go with me tomorrow ?",A,neutral,9,2,train,,DailyDialog,
99,0,0,No way . I will be scared out of my wits .,B,fear,9,3,train,,DailyDialog,
100,1,1,"That's funny , I didn't know a big fellow like you could be so soft and timid on the inside .",A,happiness,9,4,train,A hoped B would agree to go watch the horror movie together.,DailyDialog,2.0
101,1,1,"Hey , how would you like to taste my fist ?",B,happiness,9,5,train,B expected A to understand or accept B's reluctance to watch horror movies without making fun of him.,DailyDialog,3.0
102,0,0,"Alright , all joking aside , what kinds of moves do you like ?",A,happiness,9,6,train,,DailyDialog,
103,1,1,"Um , let me see , romance , comedy . documentary , action , science fiction , animated and so on .",B,neutral,9,7,train,B expected A to stop teasing and take the conversation seriously.,DailyDialog,5.0
104,1,1,"That is to say , you like all genres except for horror movies .",A,neutral,9,8,train,"A expected B to list some movie genres but anticipated that B does not like horror movies, given the prior conversation.",DailyDialog,6.0
105,0,0,Yeah . It seems like we don't speak the same language as far as movies are concerned .,B,neutral,9,9,train,,DailyDialog,
106,1,1,Not quite . I also greatly enjoy romance and comedy .,A,happiness,9,10,train,"A was expecting B to see a common interest in other genres like romance and comedy, suggesting they do have some overlap in movie preferences despite B's dislike for horror movies.",DailyDialog,8.0
107,0,0,The Notebook is this type of movie .,B,neutral,9,11,train,,DailyDialog,
108,1,1,Really ? I haven't heard of it .,A,surprise,9,12,train,A hoped B would suggest a known romance or comedy movie that A was familiar with.,DailyDialog,10.0
109,1,1,"Well then , this could be a nice opportunity to enjoy it together . I bet you'd love it .",B,happiness,9,13,train,"B expected A to be familiar with 'The Notebook' and possibly express interest or enthusiasm about it, which B could then use as a basis for suggesting they watch it together.",DailyDialog,11.0
110,1,1,Ok . I can't wait to see it . Let's go !,A,happiness,9,14,train,A was open to learning more about The Notebook and was hoping B would suggest watching it together.,DailyDialog,12.0
111,0,0,You didn't show up to my performance last night ! Some kind of friend you are !,A,anger,10,0,train,,DailyDialog,
112,0,0,Give me a chance to explain . I was no my way and I had an accident .,B,neutral,10,1,train,,DailyDialog,
113,0,0,Sure . You look like you're all black and blue .,A,anger,10,2,train,,DailyDialog,
114,0,0,"I am fine . In fact , I don't have a scratch on me or my vehicle . But the other guy is in critical condition .",B,neutral,10,3,train,,DailyDialog,
115,1,1,You're serious ?,A,surprise,10,4,train,A expected B to say they were injured or their car was damaged.,DailyDialog,2.0
116,1,1,"Yes , I'm serious . I'm really sorry about missing your concert .",B,sadness,10,5,train,"B expected A to be shocked or concerned about the severity of the accident, especially since the other person involved is in critical condition.",DailyDialog,3.0
117,1,1,I guess I misjudged you . I hope you can forgive me .,A,neutral,10,6,train,"A was expecting B to be joking or exaggerating about the seriousness of the situation, possibly thinking B was using it as an excuse for missing the concert.",DailyDialog,4.0
118,1,1,"Of course I forgive you . What are friends for ? Now , what am I going to do for that other guy ?",B,neutral,10,7,train,B hoped to be forgiven by A and to shift the focus to the other person involved in the accident.,DailyDialog,5.0
119,0,0,What would you say if I told you I was going to quit school ?,A,neutral,11,0,train,,DailyDialog,
120,0,0,"I ’ d say , think twice about it . Well , you are not going to quit school , are you ?",B,neutral,11,1,train,,DailyDialog,
121,1,1,I don't know . I failed my exam .,A,sadness,11,2,train,"A was expecting B to express concern or provide advice about the idea of quitting school, possibly seeking reassurance or validation after failing the exam.",DailyDialog,0.0
122,0,0,What did you get ?,B,neutral,11,3,train,,DailyDialog,
123,1,1,A B plus .,A,neutral,11,4,train,"A was expecting a lower grade, possibly a failing one.",DailyDialog,2.0
124,0,0,That's not bad .,B,neutral,11,5,train,,DailyDialog,
125,1,1,"But I should have aced it . I mean I finished the paper so quickly , thinking it's a piece of cake . But when I knew my result , I was like what ? That can't be true !",A,surprise,11,6,train,"A expected to get an A or a very high score, as they thought the exam was easy and finished it quickly.",DailyDialog,4.0
126,0,0,"Listen , John . I understand that you are such an excellent student and I know you must have lots of stress , but you really want to give up ?",B,neutral,11,7,train,,DailyDialog,
127,1,1,"No , I don't . I just don't know how to handle this . This is my first time , you know .",A,sadness,11,8,train,"A expected to receive an excellent grade, likely an A or A+, due to finishing the exam quickly and perceiving it as easy.",DailyDialog,6.0
128,0,0,I know . Don't worry . Do you know what you should do ?,B,neutral,11,9,train,,DailyDialog,
129,1,1,What ?,A,neutral,11,10,train,A was expecting B to provide guidance or a suggestion on how to handle the situation.,DailyDialog,8.0
130,0,0,You need to blow off some steam . The world is not on your shoulder .,B,neutral,11,11,train,,DailyDialog,
131,0,0,How ?,A,neutral,11,12,train,,DailyDialog,
132,0,0,Forget about school and exams . Come over to my house and have fun . I have some really good DVDs .,B,neutral,11,13,train,,DailyDialog,
133,0,0,Thanks . But I really don't feel like watching movies tonight . I have to get an early start in the morning .,A,neutral,11,14,train,,DailyDialog,
134,0,0,Then go to bed and have a good sleep .,B,neutral,11,15,train,,DailyDialog,
135,1,1,I guess that's what I need . Thanks . You're being a really good friend .,A,happiness,11,16,train,"A was expecting B to understand and suggest something restful or supportive after expressing the need for an early start in the morning, rather than an active distraction like watching movies.",DailyDialog,14.0
136,1,1,"Of course I am . Well , pleasant dreams !",B,happiness,11,17,train,"B expected A to acknowledge the suggestion to go to bed and have a good sleep, and potentially express gratitude or agreement with the idea.",DailyDialog,15.0
137,0,0,"Thanks , bye .",A,happiness,11,18,train,,DailyDialog,
138,0,0,"Karen , do you have a minute ? I'd like to ask you about something .",A,neutral,12,0,train,,DailyDialog,
139,0,0,Sure . What is it ?,B,neutral,12,1,train,,DailyDialog,
140,0,0,"I think you can give me some advice.You have worked here longer , and I just want to know what you think .",A,neutral,12,2,train,,DailyDialog,
141,1,1,I'm glad to help you . But what is it you want to ask about ?,B,sadness,12,3,train,B expected A to directly state the specific question or topic they needed advice on after saying 'Sure. What is it?',DailyDialog,1.0
142,0,0,I am worried about the meeting this morning .,A,neutral,12,4,train,,DailyDialog,
143,1,1,Why ? I think the meeting went well .,B,neutral,12,5,train,"B expected A to ask a specific question or seek advice about something that was unclear or troubling them, rather than expressing worry about the meeting outcome, as B believed the meeting went well.",DailyDialog,3.0
144,1,1,Really ?,A,surprise,12,6,train,A expected B to share or confirm A's concerns or worries about the meeting.,DailyDialog,4.0
145,0,0,Yes . But what are you worried about ?,B,neutral,12,7,train,,DailyDialog,
146,1,1,I'm afraid I was too rude .,A,neutral,12,8,train,A hoped B would confirm A's perception that something went wrong in the meeting.,DailyDialog,6.0
147,0,0,"Rude ? You weren't rude at all , Annie . Why do you think you were rude ?",B,neutral,12,9,train,,DailyDialog,
148,0,0,"Well , I maybe talked to Mr . Drummond too directly . I thought I maybe said too much . I don't want him to be angry .",A,neutral,12,10,train,,DailyDialog,
149,0,0,I understand . But really you weren't rude at all.You said what you thought . I think he appreciates that .,B,neutral,12,11,train,,DailyDialog,
150,1,1,Really ?,A,surprise,12,12,train,A expected B to confirm that A's directness might have upset Mr. Drummond or was seen as rude.,DailyDialog,10.0
151,0,0,Yes .,B,neutral,12,13,train,,DailyDialog,
152,1,1,"But I am new here , and I'm not sure he is used to that .",A,neutral,12,14,train,"A hoped B would express uncertainty or concern about A being too direct with Mr. Drummond, allowing A to share their own apprehensions.",DailyDialog,12.0
153,0,0,You mean because you are a woman ?,B,neutral,12,15,train,,DailyDialog,
154,0,0,Yes . And he is the president of the company .,A,neutral,12,16,train,,DailyDialog,
155,0,0,"Listen , Annie . You shouldn't worry about Mr . Drummond.He is a very good man to work for . He is not sexist at all.He appreciates people for their ideas.And he is willing to take suggestions from men or women .",B,neutral,12,17,train,,DailyDialog,
156,1,1,"I am very happy to hear that , Karen.It ' s good to know I'm working in such a company .",A,happiness,12,18,train,"A was concerned that Mr. Drummond might have a negative reaction because of her directness and potentially due to her being a woman, and she was expecting confirmation or reassurance regarding his openness and fairness.",DailyDialog,16.0
157,0,0,"I agree with you on that , Annie . I've worked for Derek Drummond for nine years now . I feel he appreciates his employees for their work , not their gender . I would never change jobs .",B,neutral,12,19,train,,DailyDialog,
158,0,0,Good . Thank you for telling me this .,A,happiness,12,20,train,,DailyDialog,
159,0,0,"Any time . If you have a good idea , don't be afraid to speak up.This is a company that appreciates initiative .",B,neutral,12,21,train,,DailyDialog,
160,0,0,"Jenny , you look terrible . What's eating you ?",A,neutral,13,0,train,,DailyDialog,
161,0,0,Don't brother me !,B,anger,13,1,train,,DailyDialog,
162,0,0,"Hey , chill out , I'm just trying to help .",A,neutral,13,2,train,,DailyDialog,
163,1,1,"Sorry , Sally , it's not your fault .",B,sadness,13,3,train,B was likely expecting A to stop engaging or back off after saying 'Don't bother me!',DailyDialog,1.0
164,0,0,"So , what's the problem ?",A,neutral,13,4,train,,DailyDialog,
165,0,0,I drew a blank on the algebra test .,B,sadness,13,5,train,,DailyDialog,
166,1,1,No kidding ! Didn't you study for it ?,A,surprise,13,6,train,A expected B to explain a specific problem or issue that was causing distress.,DailyDialog,4.0
167,0,0,"Yeah , but nothing was clear during the test .",B,sadness,13,7,train,,DailyDialog,
168,1,1,"That's too bad , anyway , I'm sure things will turn around next semester .",A,neutral,13,8,train,"A expected B to have studied for the algebra test, which would have helped her perform better.",DailyDialog,6.0
169,0,0,I'm thinking of dropping out .,B,sadness,13,9,train,,DailyDialog,
170,1,1,"You can't do that , Jenny !",A,surprise,13,10,train,"A expected B to feel hopeful and motivated to continue, not to consider dropping out.",DailyDialog,8.0
171,1,1,"I'm dead serious about this , Sally .",B,fear,13,11,train,B was expecting A to understand or take seriously the consideration of dropping out.,DailyDialog,9.0
172,1,1,"Come on , let's talk about it .",A,neutral,13,12,train,"A expected B to reconsider or express uncertainty about the decision to drop out when confronted with the statement ""You can't do that, Jenny!"".",DailyDialog,10.0
173,0,0,"Hi , long time no see . How have you been ?",A,neutral,14,0,train,,DailyDialog,
174,0,0,"Oh , I've been fine , but I'm having some trouble with my son .",B,sadness,14,1,train,,DailyDialog,
175,0,0,Tell me all about it .,A,neutral,14,2,train,,DailyDialog,
176,0,0,"Oh , he's 14 and in the past few months , he's become quieter and a bit secretive . He locks himself in his room and I think he's running around with the wrong crowd .",B,sadness,14,3,train,,DailyDialog,
177,0,0,"Oh , I see . What makes you think that ?",A,neutral,14,4,train,,DailyDialog,
178,0,0,"Well , he's become friends with a couple of older boys who are in a band . And one night last weekend , he came home really late , way past his curfew .",B,sadness,14,5,train,,DailyDialog,
179,1,1,Really ? What happened ?,A,surprise,14,6,train,A expected B to provide specific behaviors or events that indicate the son's involvement with a questionable crowd.,DailyDialog,4.0
180,0,0,He told me that his friend's car broke down and they had to walk home .,B,sadness,14,7,train,,DailyDialog,
181,1,1,I see what you mean . I understand why you're concerned . Have you tried talking to your son about it ?,A,neutral,14,8,train,"A was expecting B to provide a concerning or suspicious reason for the son's late arrival, which might confirm A's concerns about the son's behavior.",DailyDialog,6.0
182,1,1,I haven't yet . I just keep hoping it's just a phase he's going through .,B,neutral,14,9,train,B hoped that A would find the explanation of the car breaking down plausible or reassuring.,DailyDialog,7.0
183,1,1,"You may be right , but it doesn't hurt to find out more about what's going on in his life .",A,happiness,14,10,train,"A was expecting B to have already talked to their son about the changes in his behavior, as a way to understand and address the concerns mentioned.",DailyDialog,8.0
184,1,1,"You're right . I should talk to him . Sometimes , it's not easy being a parent . Thanks . It helps to get it off my chest . You're always so easy to talk to .",B,happiness,14,11,train,B was expecting understanding or reassurance from A that his son's behavior might just be a phase and not something to be overly concerned about.,DailyDialog,9.0
185,0,0,"I don't know about that , but my door is always open . Stop by anytime .",A,happiness,14,12,train,,DailyDialog,
186,0,0,What date is it today ?,A,neutral,15,0,train,,DailyDialog,
187,0,0,Why ?,B,neutral,15,1,train,,DailyDialog,
188,0,0,Look at the girls in the street . They all have a bunch of flowers.Is it Valentine's Day ?,A,neutral,15,2,train,,DailyDialog,
189,1,1,"Oh , yes ! I completely forgot about it .",B,surprise,15,3,train,B was expecting a reason or context for A's question about the date.,DailyDialog,1.0
190,0,0,Did you have a fight with Jack ?,A,neutral,15,4,train,,DailyDialog,
191,1,1,"No , but now he'll be in trouble . What's a boyfriend for ? To forget about Valentine's Day ?",B,anger,15,5,train,"B expected Jack to remember Valentine's Day and acknowledge it in some way, possibly with a gesture like giving flowers, which is why B is upset about the oversight.",DailyDialog,3.0
192,0,0,"Come on , dear ! You forgot it , too .",A,neutral,15,6,train,,DailyDialog,
193,0,0,"You know , it's OK for a girl to forget these "" big days "" , but for a guy , to do that is unforgivable .",B,anger,15,7,train,,DailyDialog,
194,0,0,Is that your phone ?,A,neutral,15,8,train,,DailyDialog,
195,1,1,"Oh , it's Jack . Excuse me .",B,happiness,15,9,train,"B hoped to express that forgetting Valentine's Day is more serious for a guy, highlighting Jack's potential mistake, and possibly expected Jack to apologize or make amends for forgetting.",DailyDialog,7.0
196,0,0,Wow ! Good timing .,A,neutral,15,10,train,,DailyDialog,
197,0,0,He asked me out to a dinner tonight . How about joining us ?,B,happiness,15,11,train,,DailyDialog,
198,0,0,Come on ! Three's a crowd !,A,neutral,15,12,train,,DailyDialog,
199,1,1,So what ?,B,neutral,15,13,train,"B expected A to be open to joining them for dinner, potentially thinking A would appreciate the invitation or find it fun to join.",DailyDialog,11.0
200,1,1,Just go ! It's Valentine's Day !,A,happiness,15,14,train,A expected B to understand that A wanted to give B and Jack some privacy for their Valentine's Day dinner.,DailyDialog,12.0
201,0,0,Did you hear ? The state is thinking of legalizing gambling in our city ! Soon we are gonna have amazing hotels and casinos here which will be good for our business !,A,happiness,16,0,train,,DailyDialog,
202,0,0,Are you serious ? Gambling is a vice industry built on deception and fed by the intentional exploitation of human weakness for the sole purpose of monetary gain ! It disgusts me .,B,fear,16,1,train,,DailyDialog,
203,1,1,What are you talking about ? How does it exploit people ?,A,surprise,16,2,train,"A expected B to be excited or supportive about the legalization of gambling, seeing it as a positive development for the city and their business.",DailyDialog,0.0
